Crop_Year,Annual_Rainfall,Fertilizer,Pesticide,N_SOIL,P_SOIL,K_SOIL,pH_SOIL,Crop_encoded,Season_encoded,State_encoded
2011,3340.395455,59804.64,117.81,137.25,12.5,153.55,6.15,17,1,6
2007,677.5,10005.0,12.0,116.8181818181818,20.727272727272727,236.3,7.654545454545455,4,1,5
1999,883.4,21650.52,55.08,92.64,12.646666666666668,211.60533333333333,7.617333333333333,28,4,27
2014,1287.4,3178311.84,6947.82,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,4,2,28
2002,800.8,52295045.31,138098.25,89.1,16.663636363636364,285.64,7.612727272727272,11,1,14
2002,800.8,545961.89,1441.75,89.1,16.663636363636364,285.64,7.612727272727272,42,4,14
2000,2412.6,12737753.84,33735.52,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,40,0,13
2003,1075.6,37513.42,90.96,92.64,12.646666666666668,211.60533333333333,7.617333333333333,28,1,27
2002,1102.8,9283340.2,24515.0,83.85,13.6,204.85,6.516666666666667,29,1,20
2010,1096.0,220427.97,318.48,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,43,5,29
2015,2334.4,11049752.25,23091.75,113.625,8.825,166.5375,5.4375,40,3,26
2010,1317.7,19236036.33,27792.72,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,24,2,12
2013,1193.8,25141.26,46.98,147.775,19.15,222.65,6.784999999999999,32,2,10
2019,1217.7,3504591.04,7549.48,155.25,16.650000000000002,214.01666666666665,6.391666666666667,4,2,9
2008,1201.9,16380368.64,10306.44,97.22368421052632,17.86842105263158,247.7,7.605263157894737,11,4,24
2002,2511.2,9228904.95,24371.25,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,0,4,13
1997,798.9,10563870.0,34410.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,50,4,7
2003,1709.8,593880.0,1440.0,136.125,9.975,204.4,5.2125,4,2,19
2001,4241.0,747897.99,1903.98,138.75,15.25,161.16666666666666,5.141666666666667,11,1,17
2016,2924.3,789390.75,1802.85,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,15,4,13
1999,2914.6,8696398.33,22124.07,111.17857142857144,26.285714285714285,149.66428571428574,5.878571428571428,0,4,13
2006,1146.3,143929042.3,247939.78,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,20,2,12
1999,458.9,37994540.0,96660.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,1,1,7
2009,1321.0,1416715.44,1545.64,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,52,2,12
2018,1125.4,872149.4,1881.95,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,34,1,7
2009,585.8,2325146.04,2536.74,92.64,12.646666666666668,211.60533333333333,7.617333333333333,13,1,27
2007,677.5,211572.4,253.76,116.8181818181818,20.727272727272727,236.3,7.654545454545455,2,1,5
2009,1321.0,4294710.84,4685.54,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,38,2,12
2007,740.4,18424274.2,22098.08,89.1,16.663636363636364,285.64,7.612727272727272,10,4,14
2003,2213.7,694047.76,1682.88,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,1,1,2
2014,3484.4,994826.4,2174.7,138.75,15.25,161.16666666666666,5.141666666666667,21,1,17
2019,1733.4,10689140.08,23026.21,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,17,3,29
2018,1387.4,13462.6,29.05,96.375,16.125,289.9888888888889,7.563888888888889,54,3,15
2000,1057.8,145919888.0,386464.0,96.375,16.125,289.9888888888889,7.563888888888889,40,1,15
2005,1248.1,45689.52,80.01,155.25,16.650000000000002,214.01666666666665,6.391666666666667,27,1,9
2009,1330.3,710539.2,775.2,83.85,13.6,204.85,6.516666666666667,43,0,20
2006,1362.5,191565.0,330.0,136.125,9.975,204.4,5.2125,53,2,19
2004,1711.5,108340.0,210.0,136.125,9.975,204.4,5.2125,40,2,19
2006,1146.3,954887.67,1644.94,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,51,4,12
2000,544.3,244148.79,646.62,116.8181818181818,20.727272727272727,236.3,7.654545454545455,37,4,5
2018,2012.6,531042.8,1145.9,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,38,0,29
2001,1035.8,6444403.0,16406.0,96.375,16.125,289.9888888888889,7.563888888888889,24,2,15
1999,667.1,1162972.54,2958.66,147.775,19.15,222.65,6.784999999999999,4,2,10
2014,1238.5,42029377.44,91876.62,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,40,3,12
2003,1734.3,13560.26,32.88,118.03846153846152,18.615384615384617,263.5153846153846,6.6692307692307695,24,3,28
1997,1266.7,15529174.41,50583.63,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,19,2,12
2003,1648.2,722850.94,1752.72,83.85,13.6,204.85,6.516666666666667,37,4,20
2007,2831.8,134467.2,161.28,113.625,8.825,166.5375,5.4375,32,2,26
2008,1540.9,811036.8,510.3,136.125,9.975,204.4,5.2125,23,2,19
2013,1418.3,76868.68,143.64,79.5,9.633333333333336,247.64545454545456,6.481818181818182,41,2,4
2016,2626.8,5363.75,12.25,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,31,2,18
2001,1002.9,1154783.91,2939.82,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,10,4,12
1999,1222.9,7148810.67,18186.93,89.1,16.663636363636364,285.64,7.612727272727272,37,4,14
1999,922.8,403612.39,1026.81,97.22368421052632,17.86842105263158,247.7,7.605263157894737,37,4,24
2013,1451.4,2059415.97,3848.31,89.1,16.663636363636364,285.64,7.612727272727272,19,1,14
2017,868.2,653061.12,1576.24,120.1923076923077,18.884615384615383,270.11538461538464,7.4,1,2,0
2005,2184.6,5032682.64,8813.07,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,3,4,2
2016,1147.2,790463.5,1805.3,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,12,3,12
2018,533.2,7282780.0,15715.0,96.38636363636364,14.909090909090908,219.5090909090909,7.831818181818182,16,2,8
2007,1600.2,379211511.0,454826.4,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,40,5,3
2018,1521.4,181339.6,391.3,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,32,2,3
2013,1350.9,43347.0,81.0,136.125,9.975,204.4,5.2125,8,1,19
2002,800.8,28358209.16,74887.0,89.1,16.663636363636364,285.64,7.612727272727272,1,1,14
2000,1213.3,13128175.93,34769.54,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,52,1,12
2016,1147.2,11314754.0,25841.2,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,40,3,12
2011,2295.609091,149092.8,293.7,113.625,8.825,166.5375,5.4375,36,2,26
2018,1665.2,170796.6,368.55,134.5909090909091,8.799999999999999,132.04545454545453,5.263636363636364,12,1,18
1998,1314.8,142835160.0,419253.0,96.375,16.125,289.9888888888889,7.563888888888889,40,1,15
2000,1965.5,280668.03,743.34,160.64285714285714,11.01142857142857,148.80285714285716,5.248571428571428,49,4,2
2019,351.8,301095.28,648.61,96.38636363636364,14.909090909090908,219.5090909090909,7.831818181818182,51,4,8
2012,1566.0,187595.2,385.64,92.93478260869566,13.173913043478262,199.7695652173913,6.891304347826087,27,1,29
2015,940.7,24891037.48,52017.24,120.1923076923077,18.884615384615383,270.11538461538464,7.4,24,2,0
1997,798.9,66047980.0,215140.0,109.22727272727272,17.151515151515152,240.4727272727273,7.663636363636364,53,2,7
2016,3837.1,1521619.25,3475.15,138.75,15.25,161.16666666666666,5.141666666666667,15,1,17
2007,3223.9,512656.2,614.88,157.67307692307693,17.20769230769231,203.49615384615385,5.1038461538461535,37,4,1
2015,940.7,8148156.0,17028.0,120.1923076923077,18.884615384615383,270.11538461538464,7.4,27,1,0
2012,956.2,1728469.6,3553.22,120.38709677419357,19.161290322580644,259.4935483870968,7.212903225806452,8,1,12
2002,1105.8,323771.4,855.0,87.76315789473684,8.776315789473685,183.41315789473683,7.418421052631579,13,4,3
2008,1390.1,50207.04,31.59,147.775,19.15,222.65,6.784999999999999,32,2,10
2003,3011.6,158368.0,384.0,137.25,12.5,153.55,6.15,0,4,6
